game,text,label
europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Arsenal 2 - 3 Olympiakos Piraeus/1,In the previous match,PAST
france_ligue-1/2016-2017/2017-05-07 - 18-00 Marseille 2 - 1 Nice/2,we were born,IRRELEVANT
spain_laliga/2016-2017/2016-11-19 - 22-45 Atl. Madrid 0 - 3 Real Madrid/2,But they are already late.,CURRENT
france_ligue-1/2016-2017/2016-09-16 - 21-45 Caen 0 - 6 Paris SG/1,"Last year, Patrice Garande said that we were too spectators, too wait-and-see.",PAST
spain_laliga/2015-2016/2015-09-26 - 17-00 Barcelona 2 - 1 Las Palmas/1,with Munir,CURRENT
italy_serie-a/2016-2017/2016-10-30 - 17-00 AC Milan 1 - 0 Pescara/1,"And, as often happens in such matches, the favorite and the outsider club resist until the moment the favorite opens the scoring in the game.",IRRELEVANT
europe_uefa-champions-league/2016-2017/2017-05-02 - 21-45 Real Madrid 3 - 0 Atl. Madrid/1,but to chase that ball,CURRENT
spain_laliga/2016-2017/2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas/1,But if Gesé had arrived a little earlier it would have been fantastic.,PAST
france_ligue-1/2016-2017/2016-10-01 - 18-00 Paris SG 2 - 0 Bordeaux/1,loaned to Nantes last season,PAST
germany_bundesliga/2016-2017/2017-04-15 - 16-30 Dortmund 3 - 1 Eintracht Frankfurt/2,"Other Damn"".",CURRENT
spain_laliga/2016-2017/2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal/2,James puts it,CURRENT
spain_laliga/2016-2017/2017-01-14 - 18-15 Barcelona 5 - 0 Las Palmas/1,Rafinha's shot crossed.,CURRENT
europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Real Madrid 4 - 0 Ludogorets/2,a lot of goals although he says he loves taking fouls but he doesn't have any,IRRELEVANT
france_ligue-1/2016-2017/2016-12-11 - 18-00 Paris SG 2 - 2 Nice/2,13 years removed in number of goals scored compared to last season,PAST
spain_laliga/2014-2015/2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga/1,Born. Casillas with a right hand to Arbeloa. No problem.,IRRELEVANT
spain_laliga/2015-2016/2015-08-29 - 21-30 Barcelona 1 - 0 Malaga/2,"Last season he couldn't beat Málaga, which he couldn't beat last season or in",PAST
europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Real Madrid 1 - 0 Paris SG/1,the whiplash or the stone so,CURRENT
france_ligue-1/2016-2017/2017-03-12 - 23-00 Lorient 1 - 2 Paris SG/1,We remember last year their decisive victory at the Malherbe stadium in Caen.,PAST
italy_serie-a/2016-2017/2017-05-07 - 21-45 AC Milan 1 - 4 AS Roma/1,Jean Jesus releases the ball.,CURRENT
italy_serie-a/2016-2017/2016-10-26 - 21-45 Sassuolo 1 - 3 AS Roma/2,"according to the behests of Dzeman, he loves to play",IRRELEVANT
spain_laliga/2014-2015/2015-04-11 - 17-00 Real Madrid 3 - 0 Eibar/1,Didac Vila.,CURRENT
italy_serie-a/2016-2017/2017-04-15 - 21-45 Napoli 3 - 0 Udinese/1,He understands perfectly well what he has,CURRENT
europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Real Madrid 4 - 0 Ludogorets/1,a born ball retriever much less and yet they all do that function,IRRELEVANT
europe_uefa-champions-league/2016-2017/2017-03-07 - 22-45 Napoli 1 - 3 Real Madrid/2,He messed up last season,PAST
germany_bundesliga/2016-2017/2017-01-21 - 18-00 Leipzig 3 - 0 Frankfurt/2,Favorite and are perceived as such.,IRRELEVANT
spain_laliga/2014-2015/2015-05-17 - 20-00 Atl. Madrid 0 - 1 Barcelona/2,"against his favorite enemy, 23 goals",IRRELEVANT
spain_laliga/2014-2015/2015-04-28 - 21-00 Barcelona 6 - 0 Getafe/1,"born in Mar del Plata, youth player of the",IRRELEVANT
italy_serie-a/2016-2017/2016-08-20 - 19-00 AS Roma 4 - 0 Udinese/1,"This defender will act, in fact, last season",PAST
italy_serie-a/2016-2017/2017-01-29 - 17-00 Sampdoria 3 - 2 AS Roma/1,Boretto.,CURRENT
italy_serie-a/2016-2017/2016-10-26 - 21-45 Sassuolo 1 - 3 AS Roma/1,I assure you that you don’t even have to dig into the statistics of last season to understand and remember the last time Konovaro scored.,PAST
spain_laliga/2016-2017/2016-09-21 - 23-00 Barcelona 1 - 1 Atl. Madrid/2,He had just made the changes just ten seconds earlier.,PAST
germany_bundesliga/2015-2016/2016-04-02 - 16-30 Bayern Munich 1 - 0 Eintracht Frankfurt/1,Already in 2008.,PAST
italy_serie-a/2016-2017/2016-11-06 - 18-00 Internazionale 3 - 0 Crotone/1,The guests are taking off now.,CURRENT
italy_serie-a/2016-2017/2017-02-10 - 22-45 Napoli 2 - 0 Genoa/2,And the phrase about the fact that 2-0 is Fabio Capello’s least favorite score is out of place.,IRRELEVANT
italy_serie-a/2016-2017/2016-12-04 - 17-00 Lazio 0 - 2 AS Roma/2,And Bruno Perez can theoretically throw off on horseback.,CURRENT
france_ligue-1/2016-2017/2016-09-11 - 18-00 Nice 3 - 2 Marseille/2,and anyone who loves football loves Bellandard,IRRELEVANT
italy_serie-a/2016-2017/2017-02-10 - 22-45 Napoli 2 - 0 Genoa/1,The Federation allowed to play earlier,PAST
italy_serie-a/2016-2017/2017-03-19 - 22-45 AS Roma 3 - 1 Sassuolo/1,"Now Emerson, like any Brazilian, loves to play with the ball.",IRRELEVANT
italy_serie-a/2016-2017/2017-03-12 - 22-45 Palermo 0 - 3 AS Roma/2,And he did well last season at Empoli.,PAST
spain_laliga/2019-2020/2019-12-15 - 18-00 Valencia 1 - 1 Real Madrid/1,Valencia was entertained.,CURRENT
germany_bundesliga/2015-2016/2016-04-09 - 16-30 VfB Stuttgart 1 - 3 Bayern Munich/2,Idol.,IRRELEVANT
france_ligue-1/2016-2017/2017-03-12 - 23-00 Lorient 1 - 2 Paris SG/1,It's for Zawa.,CURRENT
italy_serie-a/2016-2017/2017-03-12 - 22-45 Palermo 0 - 3 AS Roma/2,They lost.,CURRENT
france_ligue-1/2016-2017/2016-12-11 - 22-45 Paris SG 2 - 2 Nice/2,it was in 2009,PAST
france_ligue-1/2016-2017/2016-11-20 - 18-00 Saint Etienne 0 - 1 Nice/1,ball on cardinal the goal is wide open facing the Stéphanois attacker who,CURRENT
england_epl/2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/1,well of course the favorite,IRRELEVANT
spain_laliga/2016-2017/2017-05-06 - 21-45 Granada CF 0 - 4 Real Madrid/2,Yes. Ramos passed a little earlier.,PAST
europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Bayern Munich 5 - 0 D. Zagreb/2,Idol.,IRRELEVANT
france_ligue-1/2016-2017/2017-02-08 - 18-00 Nice 1 - 0 Saint Etienne/2,And here is Munir Obadi.,CURRENT
england_epl/2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/1,Albanian but he was born in Germany,IRRELEVANT
spain_laliga/2016-2017/2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia/2,clear infraction committed by Casemiro on Orellana,CURRENT
europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Napoli 4 - 2 Benfica/2,"On this score, you can continue to participate in this slightly hectic bacchanalia for now",CURRENT
france_ligue-1/2016-2017/2016-08-12 - 21-00 Bastia 0 - 1 Paris SG/1,slightly contravenes the status of great favorite of the pg this evening and the score is the proof,IRRELEVANT
europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Napoli 4 - 2 Benfica/1,But of course it's not very good,CURRENT
spain_laliga/2015-2016/2016-03-20 - 22-30 Real Madrid 4 - 0 Sevilla/2,Marcelo towards the gs zone receives gs looks for the diagonal gs comes like a bullet gs peak of the area,CURRENT
germany_bundesliga/2016-2017/2016-09-23 - 21-30 Dortmund 3 - 1 SC Freiburg/1,Idol.,IRRELEVANT
germany_bundesliga/2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/1,"Only with a different opponent, with a much better defensive side than in the past few weeks.",PAST
italy_serie-a/2016-2017/2017-03-19 - 22-45 AS Roma 3 - 1 Sassuolo/1,"Now Emerson, like any Brazilian, loves to play with the ball.",IRRELEVANT
spain_laliga/2019-2020/2020-02-01 - 18-00 Real Madrid 1 - 0 Atletico Madrid/2,It hasn't been possible last year either.,PAST
italy_serie-a/2015-2016/2015-09-26 - 21-45 Napoli 2 - 1 Juventus/1,"He is, in fact, an idol, an idol for the Neapolitan diffusion.",IRRELEVANT
europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG/2,As earlier.,PAST
germany_bundesliga/2016-2017/2016-10-14 - 21-30 Dortmund 1 - 1 Hertha Berlin/2,Idol.,IRRELEVANT
europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Bayern Munich 5 - 0 D. Zagreb/2,Alaba,CURRENT
spain_laliga/2015-2016/2015-09-12 - 17-00 Espanyol 0 - 6 Real Madrid/2,Garrapajal supports himself with Keylor Navas ,IRRELEVANT
europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 PSV 2 - 0 Wolfsburg/1,The attacking action of the weight.,CURRENT
spain_laliga/2019-2020/2019-09-14 - 18-00 Barcelona 5 - 2 Valencia/2,graters relationship is not easy between Griezman and Saras everything is fine Griezman who loves everything Uruguayan,IRRELEVANT
italy_serie-a/2016-2017/2016-09-18 - 18-00 Juventus 1 - 0 Internazionale/1,"right away that in Chelsea I didn’t forget at all, I didn’t score, but this is not the most favorite chapter of his career",IRRELEVANT
germany_bundesliga/2014-2015/2015-05-09 - 16-30 Bayern Munich 0 - 1 FC Augsburg/1,Augsburg Law.,CURRENT
spain_laliga/2016-2017/2017-05-14 - 21-00 Real Madrid 4 - 1 Sevilla/2,"Real Madrid's counterattack is born, it can even reach the fourth goal, we will see Lucas above",IRRELEVANT
italy_serie-a/2016-2017/2016-09-25 - 13-30 Torino 3 - 1 AS Roma/2,Rule.,CURRENT
italy_serie-a/2016-2017/2016-09-10 - 21-45 Palermo 0 - 3 Napoli/1,"Napoleon immediately switches to pressing, high pressing. It is clear that the team is charged and feels like a favorite in this match.",IRRELEVANT
germany_bundesliga/2015-2016/2015-10-04 - 18-30 Bayern Munich 5 - 1 Dortmund/2,Idol.,IRRELEVANT
italy_serie-a/2016-2017/2016-08-20 - 19-00 AS Roma 4 - 0 Udinese/2,Peerila last season,PAST
italy_serie-a/2016-2017/2016-12-01 - 18-00 Napoli 3 - 0 Internazionale/2,"Yes, she already loves to climb to the corner.",IRRELEVANT
spain_laliga/2014-2015/2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga/2,And he is seeing that the knee supports it,IRRELEVANT
germany_bundesliga/2015-2016/2015-09-19 - 16-30 Darmstadt 0 - 3 Bayern Munich/1,He also played well last season.,PAST
france_ligue-1/2016-2017/2017-05-07 - 18-00 Marseille 2 - 1 Nice/2,The good that he has to play next to Balotelli is what the coach is saying,CURRENT
france_ligue-1/2016-2017/2016-08-28 - 21-45 Monaco 3 - 1 Paris SG/1,they were dangerous earlier with David Luiz,PAST
italy_serie-a/2015-2016/2015-08-29 - 21-45 AC Milan 2 - 1 Empoli/2,Giuse,CURRENT
germany_bundesliga/2014-2015/2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich/2,What strikes me is that the SC Bad der Born,IRRELEVANT
italy_serie-a/2016-2017/2016-11-06 - 17-00 Palermo 1 - 2 AC Milan/2,Here's Pasalic's pass.,CURRENT
italy_serie-a/2016-2017/2016-08-27 - 21-45 Napoli 4 - 2 AC Milan/2,Merton with but that his favorite blow and again the donor and drags but to finish off,IRRELEVANT
france_ligue-1/2016-2017/2017-03-12 - 23-00 Lorient 1 - 2 Paris SG/2,it's true but last year,PAST
germany_bundesliga/2014-2015/2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich/1,"Elias Katschunga, 22 years old, born in Cologne. As I said, five goals this season.",IRRELEVANT
germany_bundesliga/2016-2017/2016-09-20 - 21-00 Wolfsburg 1 - 5 Dortmund/1,Piszczek has been back in team training since Sunday.,PAST
italy_serie-a/2016-2017/2017-03-18 - 18-00 Torino 2 - 2 Internazionale/1,Bonega.,CURRENT
germany_bundesliga/2016-2017/2016-11-19 - 20-30 Dortmund 1 - 0 Bayern Munich/2,Idol.,IRRELEVANT
italy_serie-a/2016-2017/2017-01-29 - 17-00 Sampdoria 3 - 2 AS Roma/1,His favorite beginning.,IRRELEVANT
italy_serie-a/2016-2017/2016-09-21 - 21-45 AS Roma 4 - 0 Crotone/1,Both at the end of last season and this season.,PAST
italy_serie-a/2015-2016/2015-11-22 - 22-45 Inter 4 - 0 Frosinone/1,she was born then,IRRELEVANT
italy_serie-a/2016-2017/2016-12-04 - 17-00 Lazio 0 - 2 AS Roma/1,"Because the Roman derby and this sculpted, sculpted face of the emperor.",CURRENT
spain_laliga/2016-2017/2016-09-10 - 21-30 Barcelona 1 - 2 Alaves/1,idol,IRRELEVANT
germany_bundesliga/2014-2015/2015-05-16 - 16-30 Wolfsburg 2 - 1 Dortmund/1,e球,CURRENT
france_ligue-1/2016-2017/2016-10-01 - 18-00 Paris SG 2 - 0 Bordeaux/2,and Paris which returned to Bordeaux from Monaco,CURRENT
italy_serie-a/2016-2017/2016-10-23 - 21-45 AS Roma 4 - 1 Palermo/2,but still,CURRENT
france_ligue-1/2016-2017/2016-08-21 - 21-45 Paris SG 3 - 0 Metz/1,more blunders. We saw earlier,PAST
germany_bundesliga/2016-2017/2016-11-19 - 20-30 Dortmund 1 - 0 Bayern Munich/1,which supports Berlin against shortening of all,IRRELEVANT
europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Maccabi Tel Aviv 1 - 3 FC Porto/1,Layun arrives,CURRENT
italy_serie-a/2015-2016/2015-09-27 - 21-45 Inter 1 - 4 Fiorentina/1,The battle!,CURRENT
spain_laliga/2016-2017/2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal/1,Crossed arms.,CURRENT
germany_bundesliga/2016-2017/2016-09-21 - 18-00 Leipzig 1 - 1 Borussia/2,Now a stupid pass.,CURRENT
europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Benfica 0 - 0 Bayer Leverkusen/2,That was a good ball.,CURRENT
france_ligue-1/2016-2017/2016-11-20 - 18-00 Saint Etienne 0 - 1 Nice/1,the guys are necessary to demand guarantees and we will see earlier,PAST
italy_serie-a/2016-2017/2016-10-30 - 17-00 Empoli 0 - 0 AS Roma/1,"Well, maybe the bill.",CURRENT
italy_serie-a/2016-2017/2016-10-02 - 21-45 AS Roma 2 - 1 Inter/1,He had problems last season.,PAST
italy_serie-a/2016-2017/2016-12-04 - 17-00 Lazio 0 - 2 AS Roma/1,"but it’s not his favorite thing, he prefers to play in attack as the Bosnian’s number 19",IRRELEVANT
france_ligue-1/2016-2017/2016-10-28 - 21-45 Lille 0 - 1 Paris SG/1,who was born in Colombe,IRRELEVANT
spain_laliga/2016-2017/2016-08-27 - 21-15 Real Madrid 2 - 1 Celta Vigo/1,The former Manchester City player also loves him.,IRRELEVANT
spain_laliga/2016-2017/2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal/1,"Finally he gets it, continues Marcelo",CURRENT
spain_laliga/2016-2017/2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas/2,That goal from Cristiano that puts Real Madrid back in the game.,PAST
italy_serie-a/2016-2017/2017-02-19 - 17-00 Chievo 1 - 3 Napoli/2,Born in 97.,IRRELEVANT
france_ligue-1/2016-2017/2017-05-06 - 18-00 Paris SG 5 - 0 Bastia/2,"And behind yes, then...",CURRENT
spain_laliga/2016-2017/2016-09-10 - 21-30 Barcelona 1 - 2 Alaves/1,"Alex Vidal, important season also for Alex Vidal,",CURRENT
europe_uefa-champions-league/2016-2017/2017-03-08 - 22-45 Barcelona 6 - 1 Paris SG/1,Whatever the score of the previous match,PAST
italy_serie-a/2016-2017/2016-10-23 - 21-45 AS Roma 4 - 1 Palermo/2,for the ball battle in the past,PAST
italy_serie-a/2015-2016/2015-11-22 - 22-45 Inter 4 - 0 Frosinone/2,Yes maybe he gets the ball here.,CURRENT
italy_serie-a/2016-2017/2016-09-21 - 21-45 Genoa 0 - 0 Napoli/1,Callejon.,CURRENT
germany_bundesliga/2016-2017/2016-10-14 - 21-30 Dortmund 1 - 1 Hertha Berlin/2,Idol.,IRRELEVANT
spain_laliga/2014-2015/2015-04-29 - 21-00 Real Madrid 3 - 0 Almeria/1,I don't know if it was last year or the year before.,PAST
france_ligue-1/2016-2017/2016-12-11 - 22-45 Paris SG 2 - 2 Nice/2,Seri and return of Lucas,CURRENT
europe_uefa-champions-league/2016-2017/2017-03-07 - 22-45 Napoli 1 - 3 Real Madrid/1,"Garlic that can be mixed, Modric is coming",CURRENT
italy_serie-a/2016-2017/2017-01-22 - 22-45 AS Roma 1 - 0 Cagliari/1,"Because this Facio is much more reliable than the one who played, for example, for the Family.",IRRELEVANT
germany_bundesliga/2014-2015/2015-04-11 - 16-30 Bayern Munich 3 - 0 Eintracht Frankfurt/2,Idol.,IRRELEVANT
italy_serie-a/2016-2017/2017-02-04 - 22-45 Bologna 1 - 7 Napoli/1,just a yellow card. Need a repeat.,CURRENT
england_epl/2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/2,"Yes, last season.",PAST
france_ligue-1/2016-2017/2017-02-26 - 23-00 Marseille 1 - 5 Paris SG/2,It's a bit like last year's match.,PAST
germany_bundesliga/2015-2016/2015-11-07 - 17-30 Bayern Munich 4 - 0 VfB Stuttgart/2,Born for Seredier.,IRRELEVANT
italy_serie-a/2016-2017/2016-08-21 - 21-45 Pescara 2 - 2 Napoli/1,Last season he scored 13 goals.,PAST
england_epl/2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/1,Albanian but he was born in Germany,IRRELEVANT
germany_bundesliga/2016-2017/2016-10-01 - 19-30 Bayer Leverkusen 2 - 0 Dortmund/1,earlier she makes sum,PAST
italy_serie-a/2016-2017/2017-01-21 - 22-45 AC Milan 1 - 2 Napoli/2,Considering the height he achieved last season.,PAST
europe_uefa-champions-league/2016-2017/2016-11-06 - 18-00 Ludogorets Razgrad 2 - 3 Arsenal/2,I took it.,CURRENT
germany_bundesliga/2015-2016/2015-09-12 - 16-30 Bayern Munich 2 - 1 FC Augsburg/2,With his six offensive games.,CURRENT
france_ligue-1/2016-2017/2017-05-20 - 22-00 Paris SG 1 - 1 Caen/1,I already said a little earlier.,PAST
italy_serie-a/2016-2017/2016-09-17 - 21-45 Napoli 3 - 1 Bologna/1,"Again, a favorite maneuver.",IRRELEVANT
france_ligue-1/2016-2017/2016-10-15 - 18-00 Nancy 1 - 2 Paris SG/1,last year Ibra,PAST
germany_bundesliga/2016-2017/2016-10-29 - 19-30 Dortmund 0 - 0 Schalke/2,Idol.,IRRELEVANT
spain_laliga/2016-2017/2017-04-08 - 21-45 Malaga 2 - 0 Barcelona/2,He held the ball when it had to be held,CURRENT
germany_bundesliga/2014-2015/2015-05-09 - 16-30 Dortmund 2 - 0 Hertha Berlin/2,Who was not only a crowd favorite.,IRRELEVANT
